title,Directors,casts,nation,year,imdbID,douban_url,Rating,Review,WatchedDate
指环王3：王者无敌 / The Lord of the Rings: The Return of the King,彼得·杰克逊,伊利亚·伍德 西恩·奥斯汀 维果·莫腾森 奥兰多·布鲁姆 伊恩·麦克莱恩 肖恩·宾 多米尼克·莫纳汉 丽芙·泰勒 约翰·贝西 凯特·布兰切特 比利·博伊德 萨德文·布罗菲 阿利斯泰尔·布朗宁 马尔顿·索克斯 伯纳德·希尔 伊安·霍姆 布鲁斯·霍普金斯 Ian Hughes 劳伦斯·马克奥雷 诺埃尔·阿普利比 布雷特·麦肯齐 Alexandra Astin Sarah McLeod Maisy McLeod-Riera 约翰·诺贝尔 Paul Norell 米兰达·奥图 布鲁斯·菲利普斯 沙恩·朗吉 约翰·瑞斯-戴维斯 Todd Rippon 安迪·瑟金斯 Harry Sinclair 乔尔·托贝克 卡尔·厄本 史蒂芬·乌瑞 雨果·维文 大卫·文翰 阿兰·霍华德 萨拉·贝克 Robert Pollock 佩特·史密斯 杰德·布罗菲 菲利普·格里夫 布拉德·道里夫 克里斯托弗·李 布鲁斯·斯宾斯 吉诺·阿赛维多 Jarl Benzon Jørn Benzon Robert Catto Michael Elsworth 彼得·杰克逊 Sandro Kopp 安德鲁·莱斯尼 约瑟夫·米卡-亨特 亨利·莫腾森 克雷格·帕克 克里斯蒂安·瑞沃斯 迈克尔·斯曼内科  霍华德·肖 约翰·斯蒂芬森 理查德·泰勒,美国 / 新西兰,2003-12-17(美国) 2004-03-12(中国大陆) 2021-05-14(中国大陆重映),tt0167260,https://movie.douban.com/subject/1291552/,5,,2021-05-27
指环王2：双塔奇兵 / The Lord of the Rings: The Two Towers,彼得·杰克逊,伊利亚·伍德 西恩·奥斯汀 多米尼克·莫纳汉 奥兰多·布鲁姆 维果·莫腾森 伊恩·麦克莱恩 凯特·布兰切特 比利·博伊德 杰德·布罗菲 丽芙·泰勒 安迪·瑟金斯 米兰达·奥图 雨果·维文 布拉德·道里夫 卡卢姆·吉廷斯 伯纳德·希尔 布鲁斯·霍普金斯 克里斯托弗·李 纳撒尼尔·利斯 罗宾·马尔科姆 约翰·贝西 萨拉·贝克 克雷格·帕克 布鲁斯·菲利普斯 Robert Pollock 约翰·瑞斯-戴维斯 奥利维亚·田內 卡尔·厄本 史蒂芬·乌瑞 大卫·文翰 菲利普·格里夫 肖恩·宾 约翰·诺贝尔 Jarl Benzon Jørn Benzon Ben Britton 阿利斯泰尔·布朗宁 Sean Button Robert Catto 罗德尼·库克 卡尔洛斯·德林克沃特 西奥沙福瓦 本·弗兰舍姆 Jonathan Harding Lucas Hayward 丹·汉纳 保罗·霍姆斯 杰森霍德 彼得·杰克逊 Sam Kelly Sandro Kopp,美国 / 新西兰,2002-12-05(纽约首映) 2002-12-18(美国) 2003-04-25(中国大陆) 2021-04-23(中国大陆重映),tt0167261,https://movie.douban.com/subject/1291572/,5,,2021-05-27
指环王1：护戒使者 / The Lord of the Rings: The Fellowship of t...,彼得·杰克逊,伊利亚·伍德 西恩·奥斯汀 伊恩·麦克莱恩 维果·莫腾森 奥兰多·布鲁姆 多米尼克·莫纳汉 比利·博伊德 克里斯托弗·李 马尔顿·索克斯 梅根·爱德华兹 伊安·霍姆 凯特·布兰切特 阿兰·霍华德 马克·弗格森 肖恩·宾 萨拉·贝克 劳伦斯·马克奥雷 安迪·瑟金斯 彼得·麦肯齐 伊恩·穆内 克雷格·帕克 卡梅隆·罗德 约翰·瑞斯-戴维斯 丽芙·泰勒 大卫·韦瑟莱 雨果·维文 菲利普·格里夫 威廉·约翰逊 伊丽莎白·穆迪 布莱恩·瑟金特 杰德·布罗菲 诺曼·凯茨 兰德尔·威廉·库克 萨比恩·克洛森 西奥沙福瓦 本·弗兰舍姆 彼得·杰克逊 艾伦·李,新西兰 / 美国,2001-12-19(美国) 2002-04-04(中国大陆) 2021-04-16(中国大陆重映),tt0120737,https://movie.douban.com/subject/1291571/,5,,2021-05-27
奏鸣曲 / ソナチネ,北野武,北野武 国舞亚矢 渡边哲 胜村政信 寺岛进 大杉涟 森下能幸 津田宽治 木下邦家 克里斯·布里顿 水森コウ太 逗子とんぼ 矢岛健一,日本,1993-09-10(日本),tt0108188,https://movie.douban.com/subject/1298351/,4,,2021-05-24
大佬 / Brother,北野武,北野武 欧玛·艾普斯 真木藏人 加藤雅也 寺岛进 罗伊尔·沃特金 隆巴多·博伊尔 大杉涟 石桥凌 詹姆斯·繁田 渡哲也 塔缇娜·阿里 大竹真 奥村公延 六平直政 片濑梨乃 安托万·塔纳 约瑟夫·劳格诺 罗伯特·科瓦吕比亚 阿尔·维森特 布拉德利·杰伊·莱斯利 洛博·塞巴斯蒂安 屈丝苔·奈特 莫汉达斯·德维兹 阿莫里·诺拉斯科 Tad Horino Alvin Ing 约翰·阿普雷亚 曼尼·佩雷斯 Eddie Garcia Darryl M. Bell 井上英治 吉奥夫·米德 仁科贵 诺尔·古格雷米 Miguel Mas 森田则之 小托马斯·罗萨莱斯,日本 / 英国 / 美国,2000-09-09(威尼斯电影节) 2001-01-27(日本),tt0222851,https://movie.douban.com/subject/1294181/,4,,2021-05-24
那年夏天，宁静的海 / あの夏、いちばん静かな海。,北野武,真木藏人 大岛弘子 河原萨布 藤原稔三 寺岛进 渡边哲 键本景子 森下能幸,日本,1991-10-19(日本),tt0103704,https://movie.douban.com/subject/1295815/,4,,2021-05-24
坏孩子的天空 / キッズ・リターン,北野武,金子贤 安藤政信 森本治行 山谷初男 柏谷享助 大家由祐子 寺岛进 茂吕师冈 植田淳季 吉田晃太郎 矢部享佑 大塚义隆 芦川诚 津田宽治 平泉成 仓崎青儿 日野阳仁 大杉涟 十贯寺梅轩 井上博一 谷本一 宫藤官九郎 萩野崇 森下能幸 加藤祐司 宫松 下条正巳 丘光子 石桥凌,日本,1996-07-27(日本),tt0116767,https://movie.douban.com/subject/1299062/,4,,2021-05-24
花火 / HANA-BI,北野武,北野武 岸本加世子 大杉涟 寺岛进 渡边哲 白龙 矢岛健一 芦川诚 大家由祐子 つまみ枝豆 柳忧怜 玉袋筋太郎 北野井子 森下能幸 藤谷美纪 山本圭子 津田宽治 宫松 山上贤治 伊藤淳史,日本,1997-09-03(威尼斯电影节) 1998-01-24(日本),tt0119250,https://movie.douban.com/subject/1302642/,4,,2021-05-24
步履不停 / 歩いても 歩いても,是枝裕和,阿部宽 夏川结衣 江原由希子 高桥和也 田中祥平 野本萤 林凌雅 寺岛进 加藤治子 树木希林 原田芳雄,日本,2008-06-28(日本),tt1087578,https://movie.douban.com/subject/2222996/,4,,2021-05-24
比海更深 / 海よりもまだ深く,是枝裕和,阿部宽 真木阳子 小林聪美 树木希林 中川雅也 池松壮亮 桥爪功 中村友理 高桥和也 小泽征悦 峰村理惠 古馆宽治 叶山奖之 吉泽太阳,日本,2016-05-18(戛纳电影节) 2016-05-21(日本),tt5294966,https://movie.douban.com/subject/26694988/,4,,2021-05-24
